Time Step,T1,T2,T3,T4,T5,T6,T7,T8,T9,Tf_ghe1,Tf_ghe2,Tf_ghe3,T_ghe1_ext,T_ghe2_ext,T_ghe3_ext,q_ghe1,q_ghe2,q_ghe3
Units,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,W/m,W/m
2,5.725172962681043,5.108376033002985,4.921592414639857,4.054126449029252,4.049329638303152,3.5885008292230913,3.576726235792033,5.256774746303114,5.55620707485085,5.256774746303113,5.8182103623301185,5.918276834486975,6.936823256814193,6.379645978357123,6.280346594123102,6.660960501472746,2.2259479051222533,1.4355135298922466
3,5.59944163641201,4.98019871150106,4.796091971217056,4.005483962738392,4.000592070168379,3.537184968478911,3.532269180086926,5.06415118035504,5.400025134236242,5.064151180355041,5.693914843882293,5.827346210327174,6.596033180623155,6.323678507409546,6.254667286418105,6.153468977698796,2.5297191076849486,1.7165205836886825
4,5.498640820218216,4.901018466435132,4.725755575679088,3.896421962868446,3.891908651836343,3.445274174483944,3.4405925834752167,4.920405371833964,5.278956396196278,4.920405371833963,5.592688542513304,5.749708733386143,6.400218160192712,6.264971713192644,6.2204610705760075,6.237896007584172,2.8338939488405246,1.9843754208763331
5,5.44950527789598,4.8421968231881225,4.660792299621707,3.870074031753431,3.8652663008482353,3.404065075923663,3.3926230123699495,4.855774494956335,5.222025125644228,4.855774494956336,5.542494427496132,5.709482594755126,6.318925977542721,6.22921436003593,6.196940063866024,5.959142940287747,2.7968821319277164,1.9853233040559337
6,5.344436378747159,4.769749004154404,4.608786945971677,3.7680817199076113,3.7623740005184203,3.3412068631973844,3.2861980586250175,4.712403805128498,5.098600194228782,4.712403805128498,5.436522034691531,5.625392018196733,6.138609551631979,6.160640264254563,6.152183842164684,6.547354655976912,3.3242460798034026,2.4183697968143845
7,5.338424587980814,4.989819320506754,4.8144233879741245,3.97428030164032,3.9695860760737496,3.5344233274756904,3.332089660765836,4.718825084412309,5.096574037597638,4.718825084412309,5.427104371634799,5.614825216990159,6.105560508058781,6.135383658857288,6.133076396382682,5.850062074043247,2.9879367941111923,2.1862869569020935
8,5.352880767277424,5.17912729255197,4.988498729827105,4.05973424383562,4.054839117313105,3.610607188270792,3.3768094947225493,4.747889153165145,5.116836332544625,4.747889153165145,5.439665114501668,5.62264583554348,6.118968811607742,6.131441075838192,6.128455338542333,5.323770189405686,2.6860993947603187,1.964009557724864
9,5.37836709194003,5.313361466000197,5.034374274857843,4.16307917115124,4.157504140495003,3.651370555559259,3.4041808057891356,4.786553946427984,5.148263788279506,4.786553946427984,5.464759899899587,5.641342296123484,6.168927087066832,6.142965853371192,6.134420803967462,4.877449487945727,2.3929250238131097,1.739736866190288
10,5.387819082074761,5.395624544564292,5.035553068999478,4.164977413824809,4.159389048052916,3.642947955249804,3.4187353078142286,4.800906042246694,5.159919682431364,4.800906042246693,5.474056617592952,5.648275538810072,6.183076776679159,6.14720719293921,6.13663139518878,4.712493209395636,2.295098164209469,1.665042964390515
11,5.413065756850241,5.484066159303654,5.0122058924662465,4.213272236596152,4.206982874781007,3.6591004353031393,3.437032723225978,4.836974151161996,5.190253707150662,4.836974151161996,5.499373318640744,5.667708099364045,6.236915579098015,6.161772486119491,6.1451624915774286,4.367154106330559,2.066371625668446,1.4894315347281322
12,5.436545901767966,5.579083643965898,5.078668857687396,4.242773715384633,4.2346561536776175,3.6743062742354224,3.484629389900368,4.873422578087649,5.219281300995768,4.873422578087649,5.521907683540372,5.6848483026504795,6.262215766274929,6.170392788993096,6.150415304305191,4.0871077561711395,1.9084400231806673,1.3701266104019179
13,5.4740059928608975,5.69658774588451,5.138462329109419,4.342895966540452,4.333585587500529,3.7258651329324186,3.5416295937571176,4.931138781990114,5.265531993240469,4.931138781990114,5.55812605308453,5.712261992427102,6.320647970223111,6.185113324178947,6.1589919916137355,3.6697694444714446,1.6559075312490856,1.1798382585930494
